emoji_ninja_1f977,					# 🥷
emoji_construction-worker_1f477,			# 👷
emoji_man-construction-worker_1f477,			# 👷‍♂️
emoji_woman-construction-worker_1f477,			# 👷‍♀️
emoji_person-with-crown_1fac5,				# 🫅
emoji_prince_1f934,					# 🤴
emoji_princess_1f478,					# 👸
emoji_person-wearing-turban_1f473,			# 👳
emoji_man-wearing-turban_1f473,				# 👳‍♂️
emoji_woman-wearing-turban_1f473,			# 👳‍♀️
emoji_person-with-skullcap_1f472,			# 👲
emoji_woman-with-headscarf_1f9d5,			# 🧕
emoji_person-in-tuxedo_1f935,				# 🤵
emoji_man-in-tuxedo_1f935,				# 🤵‍♂️
emoji_woman-in-tuxedo_1f935,				# 🤵‍♀️
emoji_person-with-veil_1f470,				# 👰
emoji_man-with-veil_1f470,				# 👰‍♂️
emoji_woman-with-veil_1f470,				# 👰‍♀️
emoji_pregnant-woman_1f930,				# 🤰
emoji_pregnant-man_1fac3,				# 🫃
emoji_pregnant-person_1fac4,				# 🫄
emoji_breast-feeding_1f931,				# 🤱
emoji_woman-feeding-baby_1f469,				# 👩‍🍼
emoji_man-feeding-baby_1f468,				# 👨‍🍼
emoji_person-feeding-baby_1f9d1,			# 🧑‍🍼
emoji_baby-angel_1f47c,					# 👼
emoji_santa-claus_1f385,				# 🎅
emoji_mrs-claus_1f936,					# 🤶
emoji_mx-claus_1f9d1,					# 🧑‍🎄
emoji_superhero_1f9b8,					# 🦸
emoji_man-superhero_1f9b8,				# 🦸‍♂️
emoji_woman-superhero_1f9b8,				# 🦸‍♀️
emoji_supervillain_1f9b9,				# 🦹
emoji_man-supervillain_1f9b9,				# 🦹‍♂️
emoji_woman-supervillain_1f9b9,				# 🦹‍♀️
emoji_mage_1f9d9,					# 🧙
emoji_man-mage_1f9d9,					# 🧙‍♂️
emoji_woman-mage_1f9d9,					# 🧙‍♀️
emoji_fairy_1f9da,					# 🧚
emoji_man-fairy_1f9da,					# 🧚‍♂️
emoji_woman-fairy_1f9da,				# 🧚‍♀️
emoji_vampire_1f9db,					# 🧛
emoji_man-vampire_1f9db,				# 🧛‍♂️
emoji_woman-vampire_1f9db,				# 🧛‍♀️
emoji_merperson_1f9dc,					# 🧜
emoji_merman_1f9dc,					# 🧜‍♂️
emoji_mermaid_1f9dc,					# 🧜‍♀️
emoji_elf_1f9dd,					# 🧝
emoji_man-elf_1f9dd,					# 🧝‍♂️
emoji_woman-elf_1f9dd,					# 🧝‍♀️
emoji_genie_1f9de,					# 🧞
emoji_man-genie_1f9de,					# 🧞‍♂️
emoji_woman-genie_1f9de,				# 🧞‍♀️
emoji_zombie_1f9df,					# 🧟
emoji_man-zombie_1f9df,					# 🧟‍♂️
emoji_woman-zombie_1f9df,				# 🧟‍♀️
emoji_troll_1f9cc,					# 🧌
emoji_person-getting-massage_1f486,			# 💆
emoji_man-getting-massage_1f486,			# 💆‍♂️
emoji_woman-getting-massage_1f486,			# 💆‍♀️
emoji_person-getting-haircut_1f487,			# 💇
emoji_man-getting-haircut_1f487,			# 💇‍♂️
emoji_woman-getting-haircut_1f487,			# 💇‍♀️
emoji_person-walking_1f6b6,				# 🚶
emoji_man-walking_1f6b6,				# 🚶‍♂️
emoji_woman-walking_1f6b6,				# 🚶‍♀️
emoji_⊛-person-walking-facing-right_1f6b6,		# 🚶‍➡️
emoji_⊛-woman-walking-facing-right_1f6b6,		# 🚶‍♀️‍➡️
emoji_⊛-man-walking-facing-right_1f6b6,		# 🚶‍♂️‍➡️
emoji_person-standing_1f9cd,				# 🧍
emoji_man-standing_1f9cd,				# 🧍‍♂️
emoji_woman-standing_1f9cd,				# 🧍‍♀️
emoji_person-kneeling_1f9ce,				# 🧎
emoji_man-kneeling_1f9ce,				# 🧎‍♂️
emoji_woman-kneeling_1f9ce,				# 🧎‍♀️
emoji_⊛-person-kneeling-facing-right_1f9ce,		# 🧎‍➡️
emoji_⊛-woman-kneeling-facing-right_1f9ce,		# 🧎‍♀️‍➡️
emoji_⊛-man-kneeling-facing-right_1f9ce,		# 🧎‍♂️‍➡️
emoji_person-with-white-cane_1f9d1,			# 🧑‍🦯
emoji_⊛-person-with-white-cane-facing-right_1f9d1,	# 🧑‍🦯‍➡️
emoji_man-with-white-cane_1f468,			# 👨‍🦯
emoji_⊛-man-with-white-cane-facing-right_1f468,	# 👨‍🦯‍➡️
emoji_woman-with-white-cane_1f469,			# 👩‍🦯
emoji_⊛-woman-with-white-cane-facing-right_1f469,	# 👩‍🦯‍➡️
emoji_person-in-motorized-wheelchair_1f9d1,		# 🧑‍🦼
emoji_⊛-person-in-motorized-wheelchair-facing-right_1f9d1,# 🧑‍🦼‍➡️
emoji_man-in-motorized-wheelchair_1f468,		# 👨‍🦼
emoji_⊛-man-in-motorized-wheelchair-facing-right_1f468,# 👨‍🦼‍➡️
emoji_woman-in-motorized-wheelchair_1f469,		# 👩‍🦼
emoji_⊛-woman-in-motorized-wheelchair-facing-right_1f469,# 👩‍🦼‍➡️
emoji_person-in-manual-wheelchair_1f9d1,		# 🧑‍🦽
emoji_⊛-person-in-manual-wheelchair-facing-right_1f9d1,# 🧑‍🦽‍➡️
emoji_man-in-manual-wheelchair_1f468,			# 👨‍🦽
emoji_⊛-man-in-manual-wheelchair-facing-right_1f468,	# 👨‍🦽‍➡️
emoji_woman-in-manual-wheelchair_1f469,			# 👩‍🦽
emoji_⊛-woman-in-manual-wheelchair-facing-right_1f469,	# 👩‍🦽‍➡️
emoji_person-running_1f3c3,				# 🏃
emoji_man-running_1f3c3,				# 🏃‍♂️
emoji_woman-running_1f3c3,				# 🏃‍♀️
emoji_⊛-person-running-facing-right_1f3c3,		# 🏃‍➡️
emoji_⊛-woman-running-facing-right_1f3c3,		# 🏃‍♀️‍➡️
emoji_⊛-man-running-facing-right_1f3c3,		# 🏃‍♂️‍➡️
emoji_woman-dancing_1f483,				# 💃
emoji_man-dancing_1f57a,				# 🕺
emoji_person-in-suit-levitating_1f574,			# 🕴
emoji_people-with-bunny-ears_1f46f,			# 👯
emoji_men-with-bunny-ears_1f46f,			# 👯‍♂️
emoji_women-with-bunny-ears_1f46f,			# 👯‍♀️
emoji_person-in-steamy-room_1f9d6,			# 🧖
emoji_man-in-steamy-room_1f9d6,				# 🧖‍♂️
emoji_woman-in-steamy-room_1f9d6,			# 🧖‍♀️
emoji_person-climbing_1f9d7,				# 🧗
emoji_man-climbing_1f9d7,				# 🧗‍♂️
emoji_woman-climbing_1f9d7,				# 🧗‍♀️
emoji_person-fencing_1f93a,				# 🤺
emoji_horse-racing_1f3c7,				# 🏇
emoji_skier_26f7,					# ⛷
emoji_snowboarder_1f3c2,				# 🏂
emoji_person-golfing_1f3cc,				# 🏌
emoji_man-golfing_1f3cc,				# 🏌️‍♂️
emoji_woman-golfing_1f3cc,				# 🏌️‍♀️
emoji_person-surfing_1f3c4,				# 🏄
emoji_man-surfing_1f3c4,				# 🏄‍♂️
emoji_woman-surfing_1f3c4,				# 🏄‍♀️
emoji_person-rowing-boat_1f6a3,				# 🚣
emoji_man-rowing-boat_1f6a3,				# 🚣‍♂️
emoji_woman-rowing-boat_1f6a3,				# 🚣‍♀️
emoji_person-swimming_1f3ca,				# 🏊
